CIRCUIT_NA,CIRCUIT_VO,AGR_PCT,COM_PCT,IND_PCT,RES_PCT,OTHER_PCT,GEN_ALLOC,GEN_QUE,TOTAL_GEN,SUBST_DISP,SYS_NAME,NOTE,OBJECTID,Shape__Len
Dashwood,4,0,0,0,95,4,0.135,0,0.135,Lucas 66/4 Kv,Del Amo 220/66 System,N/A,1001,14070.9052226629
Date,12,0,9,0,76,15,3.219,0,3.219,Olive Lake 33/12 Kv,Blythe (Walc) 161/33 System,N/A,1002,111402.241517302
Fifth St.,16,1,70,2,3,23,3.712,0,3.712,Colonia 66/16 Kv,Santa Clara 220/66 System,N/A,1003,103719.136426934
Figueroa,4,0,47,0,43,14,0,0,0,Santa Barbara 66/4 Kv,Goleta 220/66 System,N/A,1004,10210.0688413754
Fig,16,0,22,0,66,12,1.296,0,1.296,Bradbury 66/16 Kv,Rio Hondo 220/66 System,N/A,1005,31863.0643764515
Filbert,12,0,71,2,8,18,0.143,0,0.143,Chestnut 66/12 Kv,Johanna 220/66 System,N/A,1006,19604.1734474237
Finch,12,0,2,0,95,4,0.975,0,0.975,Narod 66/12 Kv,Chino 220/66 System,N/A,1007,30662.1839296725
Deanna,12,0,8,0,86,7,0.807,0,0.807,Lark Ellen 66/12 Kv,Rio Hondo 220/66 System,N/A,1008,42919.4176373809
Dearborn,12,0,17,0,72,11,0.276,0,0.276,Redlands 66/12 Kv,San Bernardino 220/66 System,N/A,1009,50025.482371437
Decosta,12,0,7,0,88,5,0.3,0,0.3,Passons 66/12 Kv,Center 220/66 System,N/A,1010,46255.0875803869
Decoy,12,0,2,0,95,3,0.184,0,0.184,Center 66/12 Kv,Center 220/66 System,N/A,1011,23822.5291380195
Fingal,12,0,4,0,80,16,3.467,0,3.467,Cabazon 33/12 Kv,El Casco 220/115 System,N/A,1012,122154.205429661
Flabob,12,0,9,0,80,10,0.244,0,0.244,Rubidoux 33/12 Kv,Vista 220/115 System,N/A,1013,25993.3043374312
Flagstaff,12,0,6,0,90,4,1.822,0,1.822,Elsinore 115/12 Kv,Valley 'D' 500/115 System,N/A,1014,51559.2276790808
Flake,12,0,2,0,95,3,1.286,0,1.286,Maxwell 115/12 Kv,Vista 220/115 System,N/A,1015,36949.4156231537
Ros,12,0,3,0,92,5,1.933,0,1.933,Valley 115/12 Kv,Valley 'Ab' 500/115 System,N/A,1016,83475.6603272263
Flagg,12,0,11,0,83,8,0.509,0,0.509,Sunnyside 66/12 Kv,Lighthipe 220/66 System,N/A,1017,35951.7814322818
Flask,12,0,5,0,87,9,0.31,0,0.31,Lighthipe 66/12 Kv,Lighthipe 220/66 System,N/A,1018,47213.4190849671
Deluz,12,0,6,0,75,19,0.37,0,0.37,Deluz P.T. 33/12 Kv,Valley 'D' 500/115 System,N/A,1019,49122.001647584
Del Carbon,12,0,7,0,85,8,0.994,0,0.994,Peyton 66/12 Kv,Chino 220/66 System,N/A,1020,92093.8669002054
Delta,12,1,5,0,77,16,2.289,0,2.289,Venida 66/12 Kv,Rector 220/66 System,N/A,1021,77543.6534283501
Denver,12,0,12,1,65,21,0.006,0,0.006,Cameron 66/12 Kv,Hinson 220/66 System,N/A,1022,32124.4479510996
