SUBSTATION_VOLTAGE,SYS_NAME,EXISTING_GEN,QUEUED_GEN,TOTAL_GEN,PROJECTED_LOAD,PENETRATION_LEVEL,MAX_REMAIN_CAP,PERCENT_15_CAP,NOTE,CIRCUIT_ID,CIRCUIT_NAME,CIRCUIT_VOLTAGE,SUB_NAME,OBJECTID,Shape__Length
66/12 kV,Johanna 220/66 System,0.143,0,0.143,5.82,2.45,9.86,0.73,Interconnection studies in this area have identified adequate deliverability.,2151304,Filbert,12,Chestnut,1001,18914.9793019172
66/16 kV,El Nido 220/66 System,0.008,0.01,0.017,10.55,0.17,13.18,1.56,Interconnection studies in this area have identified adequate deliverability.,2158066,Filly,16,Inglewood,1002,43614.1835935822
66/4.16 kV,La Fresa 220/66 System,0.081,0,0.081,1.88,5.19,2.2,0.18,Interconnection studies in this area have identified adequate deliverability.,2171289,Ezra,4,Bridge,1003,20372.7532009057
115/12 kV,Valley 'D' 500/115 System,1.98,0.084,2.064,7.53,134.05,0,0,Deliverability in this area has not been determined by previous interconnection studies.,2151487,Facemask,12,Stadler,1004,42917.6922667055
66/16 kV,La Fresa 220/66 System,2.058,0.39,2.448,9.51,21.73,11.13,0,Interconnection studies in this area have identified adequate deliverability.,2151488,Factor,16,Yukon,1005,23836.8365646002
66/12 kV,Walnut 220/66 System,0,0,0,5.85,0,10,0.88,Interconnection studies in this area have identified adequate deliverability.,2151659,Factory,12,Walnut,1006,22634.9677982819
66/12 kV,Chino 220/66 System,1.271,0.005,1.276,8.76,15.1,8.68,0,Interconnection studies in this area have identified adequate deliverability.,2151305,Finch,12,Narod,1007,30615.7152800253
66/16 kV,Laguna Bell Ab 220/66 System,0.562,0,0.562,13.2,4.26,12.64,1.42,Interconnection studies in this area have identified adequate deliverability.,2158067,Findley,16,Vail,1008,49239.6421231489
33/12 kV,El Casco 220/115 System,0.312,0,0.312,4.02,7.84,9.68,0.29,Deliverability in this area has not been determined by previous interconnection studies.,2151306,Fingal,12,Cabazon,1009,122154.200033563
66/12 kV,Villa Park 220/66 System,0.092,0,0.092,9.9,0.93,9.91,1.39,Interconnection studies in this area have identified adequate deliverability.,2158068,Finals,12,Placentia,1010,51406.394915625
