SAP Substation Name,LCR Area,City served,Division,Owner
7TH STANDARD SUB,Kern,Bakersfield,KERN,PGE
ACTON SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
ACTON SUB,Greater Bay Area,Daly City,SAN FRANCISCO,PGE
ADAMS EAST SOLAR SUB,Greater Fresno,San Joaquin County,YOSEMITE,nonPGE
ADVANCED MICRO DEVICES SUB,Greater Bay Area,Sunnyvale,DE ANZA,nonPGE
AEC SITE 300 SUB,Stockton,Tracy,STOCKTON,nonPGE
AG WISHON PH SUB,Greater Fresno,Fresno County,FRESNO,PGE
AIR PRODUCTS SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
AIRWAYS SUB,Greater Fresno,Fresno,FRESNO,PGE
AIRWAYS SUB,Greater Fresno,Clovis,FRESNO,PGE
ALHAMBRA SUB,Greater Bay Area,Pleasant Hill,DIABLO,PGE
ALHAMBRA SUB,Greater Bay Area,Martinez,DIABLO,PGE
ALLEGHANY SUB,Sierra,Alleghany,SIERRA,PGE
ALMADEN SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
ALTO SUB,North Coast/North Bay,Tiburon,NORTH BAY,PGE
ALTO SUB,North Coast/North Bay,Tamalpais-Homestead Valley,NORTH BAY,PGE
ALTO SUB,North Coast/North Bay,Strawberry,NORTH BAY,PGE
ALTO SUB,North Coast/North Bay,Muir Beach,NORTH BAY,PGE
ALTO SUB,North Coast/North Bay,Mill Valley,NORTH BAY,PGE
ALTO SUB,North Coast/North Bay,Larkspur,NORTH BAY,PGE
ALTO SUB,North Coast/North Bay,Kentfield,NORTH BAY,PGE
ALTO SUB,North Coast/North Bay,Corte Madera,NORTH BAY,PGE
ALTO SUB,North Coast/North Bay,Belvedere,NORTH BAY,PGE
AMES DIST SUB,Greater Bay Area,Mountain View,DE ANZA,PGE
AMES TRANS SUB,Greater Bay Area,Mt. View,DE ANZA,PGE
ANGIOLA SUB,Greater Fresno,Corcoran,FRESNO,PGE
ANGIOLA SUB,Greater Fresno,Alpaugh,FRESNO,PGE
ANNAPOLIS SUB,North Coast/North Bay,Annapolis,NORTH COAST,PGE
ANTIOCH SUB,Greater Bay Area,Antioch,DIABLO,PGE
APPLE HILL SUB,Sierra,Pollock Pines,SIERRA,PGE
APPLE HILL SUB,Sierra,Placerville,SIERRA,PGE
APPLIED MATERIALS SW STA SUB,Greater Bay Area,Sunnyvale,DE ANZA,PGE
ARBURUA (TEXACO T & T INC.) SUB,Greater Fresno,Merced County,FRESNO,nonPGE
ARCATA SUB,Humboldt,McKinleyville,HUMBOLDT,PGE
ARCATA SUB,Humboldt,Eureka,HUMBOLDT,PGE
ARCATA SUB,Humboldt,Arcata,HUMBOLDT,PGE
ARCH ROCK SUB,Greater Fresno,Mariposa County,FRESNO,nonPGE
ARLINGTON SUB,Greater Bay Area,Berkeley,EAST BAY,PGE
ARMSTRONG SUB,Greater Fresno,Hanford,FRESNO,nonPGE
ARVIN SUB,Kern,Arvin,KERN,PGE
ASHLAN AVE SUB,Greater Fresno,Fresno,FRESNO,PGE
ASHLAN AVENUE SUB,Greater Fresno,Fresno,FRESNO,PGE
ATLANTIC SUB,Sierra,Roseville,SIERRA,PGE
ATWATER SUB,Greater Fresno,Winton,YOSEMITE,PGE
ATWATER SUB,Greater Fresno,Atwater,YOSEMITE,PGE
AUBERRY SUB,Greater Fresno,Shaver Lake,FRESNO,PGE
AUBERRY SUB,Greater Fresno,Auberry,FRESNO,PGE
AUBURN SUB,Sierra,North Auburn,SIERRA,PGE
AUBURN SUB,Sierra,Auburn,SIERRA,PGE
AVENA SUB,Stockton,Manteca,STOCKTON,PGE
AVENA SUB,Stockton,Farmington,STOCKTON,PGE
AVENAL PRISON SUB,Greater Fresno,Kings County,FRESNO,nonPGE
AVENAL SUB,Greater Fresno,Avenal,FRESNO,nonPGE
BABEL SUB,Greater Bay Area,Concord,DIABLO,PGE
BADGER CREEK SUB,Kern,Kern County,KERN,nonPGE
BAHIA SUB,North Coast/North Bay,Benicia,NORTH BAY,PGE
BAIR SUB,Greater Bay Area,Redwood City,PENINSULA,PGE
BAKER CREEK,Humboldt,Humboldt County,HUMBOLDT,nonPGE
BAKERSFIELD SUB,Kern,Bakersfield,KERN,PGE
BALCH PH #1 SUB,Greater Fresno,Fresno County,FRESNO,PGE
BALCH PH #2 SUB,Greater Fresno,Fresno County,FRESNO,PGE
BALFOUR SUB,Greater Bay Area,Knightsen,DIABLO,PGE
BALFOUR SUB,Greater Bay Area,Discovery Bay,DIABLO,PGE
BALFOUR SUB,Greater Bay Area,Brentwood,DIABLO,PGE
BANCROFT SUB,Greater Bay Area,San Leandro,EAST BAY,PGE
BANCROFT SUB,Greater Bay Area,Oakland,EAST BAY,PGE
BANGOR SUB,Sierra,Palermo,NORTH VALLEY,PGE
BANGOR SUB,Sierra,Loma Rica,NORTH VALLEY,PGE
BANGOR SUB,Sierra,Challenge-Brownsville,NORTH VALLEY,PGE
BANGOR SUB,Sierra,Bangor,SIERRA,PGE
BANK OF AMERICA SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,nonPGE
BANTA CARBONA SUB,Stockton,Tracy,STOCKTON,nonPGE
BANTA SUB,Stockton,Tracy,STOCKTON,PGE
BANTA SUB,Stockton,Lathrop,STOCKTON,PGE
BARKER SLOUGH SUB,Sierra,Solano County,SACRAMENTO,nonPGE
BARRETT SUB,Greater Bay Area,Richmond,EAST BAY,PGE
BARRY SUB,Sierra,Barry,SIERRA,PGE
BARTON SUB,Greater Fresno,Fresno,FRESNO,PGE
BARTON SUB,Greater Fresno,Clovis,FRESNO,PGE
BASALT SUB,North Coast/North Bay,Napa,NORTH BAY,PGE
BASCOM SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
BASIC SCHOOL PUMPING STA. SUB,Kern,Maricopa,KERN,nonPGE
BAY MEADOWS SUB,Greater Bay Area,San Mateo,PENINSULA,PGE
BAY MEADOWS SUB,Greater Bay Area,Hillsborough,PENINSULA,PGE
BAY MEADOWS SUB,Greater Bay Area,Highlands-Baywood Park,PENINSULA,PGE
BAY MEADOWS SUB,Greater Bay Area,Foster City,PENINSULA,PGE
BAY MEADOWS SUB,Greater Bay Area,Burlingame,PENINSULA,PGE
BEACH STREET SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
BEALE AIR FORCE BASE,Sierra,Marysville,SIERRA,nonPGE
BEAR MOUNTAIN CO-GEN (DESTEC) SUB,Kern,Kern County,KERN,nonPGE
BEAR VALLEY SUB,Greater Fresno,Bear Valley,YOSEMITE,PGE
BEARDSLEY JCT SUB,Stockton,Strawberry,STOCKTON,PGE
BECK STREET SUB,Greater Bay Area,Oakland,EAST BAY,PGE
BELDEN PH,Sierra,Belden,NORTH VALLEY,PGE
BELL SPRINGS SUB,Humboldt,Humboldt County,HUMBOLDT,PGE
BELL SUB,Sierra,North Auburn,SIERRA,PGE
BELL SUB,Sierra,Auburn,SIERRA,PGE
BELLE HAVEN SUB,Greater Bay Area,Redwood City,PENINSULA,PGE
BELLE HAVEN SUB,Greater Bay Area,Palo Alto,PENINSULA,PGE
BELLE HAVEN SUB,Greater Bay Area,North Fair Oaks,PENINSULA,PGE
BELLE HAVEN SUB,Greater Bay Area,Menlo Park,PENINSULA,PGE
BELLE HAVEN SUB,Greater Bay Area,East Palo Alto,PENINSULA,PGE
BELLE HAVEN SUB,Greater Bay Area,Atherton,PENINSULA,PGE
BELLEVUE SUB,North Coast/North Bay,Santa Rosa,NORTH COAST,PGE
BELLEVUE SUB,North Coast/North Bay,Rohnert Park,NORTH COAST,PGE
BELLEVUE SUB,North Coast/North Bay,Cotati,NORTH COAST,PGE
BELLOTA SUB,Stockton,Bellota,STOCKTON,PGE
BELMONT SUB,Greater Bay Area,San Mateo,PENINSULA,PGE
BELMONT SUB,Greater Bay Area,San Carlos,PENINSULA,PGE
BELMONT SUB,Greater Bay Area,Redwood City,PENINSULA,PGE
BELMONT SUB,Greater Bay Area,Foster City,PENINSULA,PGE
BELMONT SUB,Greater Bay Area,Belmont,PENINSULA,PGE
BERESFORD SUB,Greater Bay Area,San Mateo,PENINSULA,PGE
BERESFORD SUB,Greater Bay Area,Hillsborough,PENINSULA,PGE
BERKELEY F SUB,Greater Bay Area,Berkeley,EAST BAY,PGE
BERKELEY F SUB,Greater Bay Area,Oakland,EAST BAY,PGE
BERKELEY F SUB,Greater Bay Area,Berkeley,EAST BAY,PGE
BERKELEY F SUB,Greater Bay Area,Albany,EAST BAY,PGE
BERKELEY T SUB,Greater Bay Area,Berkeley,EAST BAY,nonPGE
BERKELEY T SUB,Greater Bay Area,Oakland,EAST BAY,nonPGE
BERKELEY T SUB,Greater Bay Area,Berkeley,EAST BAY,nonPGE
BETHEL BANK SUB,Greater Bay Area,Bethel Island,DIABLO,nonPGE
BIG BASIN SUB,Greater Bay Area,Boulder Creek,CENTRAL COAST,PGE
BIG LAGOON SUB,Humboldt,Big Lagoon Park,HUMBOLDT,PGE
BIG RIVER SUB,North Coast/North Bay,Mendocino,HUMBOLDT,PGE
BIOLA SUB,Greater Fresno,Fresno,FRESNO,PGE
BIOLA SUB,Greater Fresno,Biola,FRESNO,PGE
BLUE CHIP MILLING,Humboldt,Humboldt County,HUMBOLDT,nonPGE
